,_step,global_step,eval/rollout/episode_length,eval/rollout/episode_return,eval/grid/mean_td_error,eval/barrier/coverage,eval/barrier/validity_alpha_0.9,eval/constrain/mean_episode_length,run_id,exp_name,seed
0,1810,20000.0,56.5,55.5,0.367749959230423,0.0,1.0,104.5999984741211,bfvarbwb,bump_supervised_base_2M,5
1,3134,30000.0,107.5,106.5,0.40230593085289,0.0,1.0,118.0999984741211,bfvarbwb,bump_supervised_base_2M,5
2,4453,40000.0,157.89999389648438,156.89999389648438,0.48499616980552673,0.0,1.0,105.4000015258789,bfvarbwb,bump_supervised_base_2M,5
3,5736,50000.0,123.80000305175781,122.80000305175781,0.48200690746307373,0.0,1.0,331.79998779296875,bfvarbwb,bump_supervised_base_2M,5
4,6986,60000.0,278.20001220703125,277.29998779296875,0.5007763504981995,0.017899999395012856,0.9914000034332275,179.1999969482422,bfvarbwb,bump_supervised_base_2M,5
5,8205,70000.0,335.8999938964844,335.1000061035156,0.5212422013282776,0.02879999950528145,0.9854999780654907,199.60000610351562,bfvarbwb,bump_supervised_base_2M,5
6,9375,80000.0,223.10000610351562,222.10000610351562,0.5655654072761536,0.03610000014305115,0.9829999804496765,154.5,bfvarbwb,bump_supervised_base_2M,5
7,10528,90000.0,257.3999938964844,256.3999938964844,0.5702962875366211,0.03720000013709068,0.9812999963760376,91.9000015258789,bfvarbwb,bump_supervised_base_2M,5
8,11662,100000.0,257.20001220703125,256.20001220703125,0.5852981805801392,0.03500000014901161,0.9829000234603882,104.80000305175781,bfvarbwb,bump_supervised_base_2M,5
9,12774,110000.0,234.5,233.5,0.5955034494400024,0.031599998474121094,0.9866999983787537,76.69999694824219,bfvarbwb,bump_supervised_base_2M,5
10,13853,120000.0,221.39999389648438,220.39999389648438,0.5816462635993958,0.03229999914765358,0.9876999855041504,89.0,bfvarbwb,bump_supervised_base_2M,5
11,14938,130000.0,249.39999389648438,248.39999389648438,0.5439349412918091,0.02590000070631504,0.9927999973297119,151.5,bfvarbwb,bump_supervised_base_2M,5
12,16009,140000.0,303.70001220703125,302.70001220703125,0.514216959476471,0.026599999517202377,0.9921000003814697,57.5,bfvarbwb,bump_supervised_base_2M,5
13,17062,150000.0,298.20001220703125,297.29998779296875,0.48913776874542236,0.024000000208616257,0.9951000213623047,115.19999694824219,bfvarbwb,bump_supervised_base_2M,5
14,18113,160000.0,320.20001220703125,319.20001220703125,0.5327876806259155,0.01850000023841858,0.9968000054359436,193.6999969482422,bfvarbwb,bump_supervised_base_2M,5
15,19155,170000.0,319.79998779296875,318.8999938964844,0.5104386806488037,0.021700000390410423,0.9980000257492065,215.3000030517578,bfvarbwb,bump_supervised_base_2M,5
16,20188,180000.0,335.5,334.5,0.49568039178848267,0.01979999989271164,0.9979000091552734,65.4000015258789,bfvarbwb,bump_supervised_base_2M,5
17,21215,190000.0,462.8999938964844,462.5,0.44571834802627563,0.015399999916553497,0.998199999332428,239.60000610351562,bfvarbwb,bump_supervised_base_2M,5
18,22231,200000.0,487.8999938964844,487.5,0.4303801357746124,0.017100000753998756,0.9984999895095825,292.70001220703125,bfvarbwb,bump_supervised_base_2M,5
19,23251,210000.0,468.6000061035156,468.20001220703125,0.4246197044849396,0.014299999922513962,0.9990000128746033,177.89999389648438,bfvarbwb,bump_supervised_base_2M,5
20,24272,220000.0,500.0,500.0,0.40970370173454285,0.014999999664723873,0.9993000030517578,280.20001220703125,bfvarbwb,bump_supervised_base_2M,5
21,25292,230000.0,500.0,500.0,0.40355461835861206,0.016499999910593033,0.9988999962806702,402.20001220703125,bfvarbwb,bump_supervised_base_2M,5
22,26312,240000.0,500.0,500.0,0.4016857445240021,0.013799999840557575,0.9991999864578247,38.400001525878906,bfvarbwb,bump_supervised_base_2M,5
23,27332,250000.0,500.0,500.0,0.4068375825881958,0.014299999922513962,0.9990000128746033,254.5,bfvarbwb,bump_supervised_base_2M,5
24,28352,260000.0,500.0,500.0,0.4084210693836212,0.016599999740719795,0.9986000061035156,40.599998474121094,bfvarbwb,bump_supervised_base_2M,5
25,29372,270000.0,492.1000061035156,491.8999938964844,0.3741598129272461,0.013299999758601189,0.998199999332428,166.89999389648438,bfvarbwb,bump_supervised_base_2M,5
26,30392,280000.0,500.0,500.0,0.3809441924095154,0.01679999940097332,0.9976999759674072,171.1999969482422,bfvarbwb,bump_supervised_base_2M,5
27,31412,290000.0,500.0,500.0,0.3864331841468811,0.013399999588727951,0.9987999796867371,96.30000305175781,bfvarbwb,bump_supervised_base_2M,5
28,32432,300000.0,500.0,500.0,0.40702536702156067,0.016499999910593033,0.9973000288009644,171.8000030517578,bfvarbwb,bump_supervised_base_2M,5
29,33452,310000.0,500.0,500.0,0.4032796323299408,0.013899999670684338,0.998199999332428,26.100000381469727,bfvarbwb,bump_supervised_base_2M,5
30,34472,320000.0,500.0,500.0,0.43601956963539124,0.02319999970495701,0.9970999956130981,23.299999237060547,bfvarbwb,bump_supervised_base_2M,5
31,35492,330000.0,500.0,500.0,0.4396217465400696,0.023000000044703484,0.9977999925613403,14.800000190734863,bfvarbwb,bump_supervised_base_2M,5
32,36512,340000.0,500.0,500.0,0.3948313295841217,0.01979999989271164,0.9972000122070312,22.700000762939453,bfvarbwb,bump_supervised_base_2M,5
33,37532,350000.0,500.0,500.0,0.3947644829750061,0.020800000056624413,0.9977999925613403,23.700000762939453,bfvarbwb,bump_supervised_base_2M,5
34,38553,360000.0,500.0,500.0,0.46857768297195435,0.024000000208616257,0.9970999956130981,87.5999984741211,bfvarbwb,bump_supervised_base_2M,5
35,39573,370000.0,500.0,500.0,0.44689303636550903,0.02449999935925007,0.9973000288009644,11.5,bfvarbwb,bump_supervised_base_2M,5
36,40593,380000.0,500.0,500.0,0.443347305059433,0.022700000554323196,0.9970999956130981,14.0,bfvarbwb,bump_supervised_base_2M,5
37,41613,390000.0,500.0,500.0,0.4082418978214264,0.019899999722838402,0.9976999759674072,22.600000381469727,bfvarbwb,bump_supervised_base_2M,5
38,42633,400000.0,500.0,500.0,0.42121076583862305,0.019600000232458115,0.9966999888420105,32.20000076293945,bfvarbwb,bump_supervised_base_2M,5
39,43653,410000.0,500.0,500.0,0.4213276207447052,0.01860000006854534,0.9969000220298767,15.399999618530273,bfvarbwb,bump_supervised_base_2M,5
40,44674,420000.0,500.0,500.0,0.432241290807724,0.02250000089406967,0.9973999857902527,60.0,bfvarbwb,bump_supervised_base_2M,5
41,45694,430000.0,500.0,500.0,0.4306386709213257,0.02590000070631504,0.9977999925613403,109.0999984741211,bfvarbwb,bump_supervised_base_2M,5
42,46714,440000.0,500.0,500.0,0.46415457129478455,0.025100000202655792,0.9973999857902527,60.29999923706055,bfvarbwb,bump_supervised_base_2M,5
43,47734,450000.0,500.0,500.0,0.47156569361686707,0.023399999365210533,0.9965999722480774,95.5,bfvarbwb,bump_supervised_base_2M,5
44,48754,460000.0,500.0,500.0,0.4557144343852997,0.025299999862909317,0.9961000084877014,15.5,bfvarbwb,bump_supervised_base_2M,5
45,49774,470000.0,500.0,500.0,0.4774855077266693,0.023399999365210533,0.9976000189781189,10.899999618530273,bfvarbwb,bump_supervised_base_2M,5
46,50794,480000.0,500.0,500.0,0.45128685235977173,0.024399999529123306,0.9969000220298767,15.199999809265137,bfvarbwb,bump_supervised_base_2M,5
47,51814,490000.0,500.0,500.0,0.4984295070171356,0.037700001150369644,0.9961000084877014,10.600000381469727,bfvarbwb,bump_supervised_base_2M,5
48,52834,500000.0,500.0,500.0,0.5284198522567749,0.03310000151395798,0.9965999722480774,10.5,bfvarbwb,bump_supervised_base_2M,5
49,53854,510000.0,500.0,500.0,0.5286520719528198,0.032999999821186066,0.9952999949455261,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
50,54874,520000.0,500.0,500.0,0.5080953240394592,0.03550000116229057,0.9948999881744385,10.100000381469727,bfvarbwb,bump_supervised_base_2M,5
51,55894,530000.0,500.0,500.0,0.5581388473510742,0.03229999914765358,0.9958000183105469,10.199999809265137,bfvarbwb,bump_supervised_base_2M,5
52,56914,540000.0,500.0,500.0,0.5664862394332886,0.031599998474121094,0.9952999949455261,10.300000190734863,bfvarbwb,bump_supervised_base_2M,5
53,57934,550000.0,500.0,500.0,0.5600600838661194,0.036400001496076584,0.9929999709129333,10.199999809265137,bfvarbwb,bump_supervised_base_2M,5
54,58954,560000.0,500.0,500.0,0.5753825306892395,0.03350000083446503,0.9951000213623047,10.5,bfvarbwb,bump_supervised_base_2M,5
55,59974,570000.0,500.0,500.0,0.5047684907913208,0.0348999984562397,0.9950000047683716,10.800000190734863,bfvarbwb,bump_supervised_base_2M,5
56,60994,580000.0,500.0,500.0,0.5349572896957397,0.03370000049471855,0.9940999746322632,10.5,bfvarbwb,bump_supervised_base_2M,5
57,62014,590000.0,500.0,500.0,0.5318466424942017,0.03830000013113022,0.9968000054359436,10.800000190734863,bfvarbwb,bump_supervised_base_2M,5
58,63034,600000.0,500.0,500.0,0.5993248820304871,0.049800001084804535,0.9943000078201294,10.600000381469727,bfvarbwb,bump_supervised_base_2M,5
59,64054,610000.0,500.0,500.0,0.6181015968322754,0.05009999871253967,0.9923999905586243,10.100000381469727,bfvarbwb,bump_supervised_base_2M,5
60,65074,620000.0,500.0,500.0,0.5861780643463135,0.04529999941587448,0.9943000078201294,10.199999809265137,bfvarbwb,bump_supervised_base_2M,5
61,66094,630000.0,500.0,500.0,0.5968188047409058,0.04540000110864639,0.9929999709129333,10.199999809265137,bfvarbwb,bump_supervised_base_2M,5
62,67114,640000.0,500.0,500.0,0.5750072002410889,0.04520000144839287,0.9929999709129333,10.300000190734863,bfvarbwb,bump_supervised_base_2M,5
63,68134,650000.0,500.0,500.0,0.5814337730407715,0.04270000010728836,0.9916999936103821,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
64,69155,660000.0,283.29998779296875,282.29998779296875,0.6385619640350342,0.06379999965429306,0.9908999800682068,9.399999618530273,bfvarbwb,bump_supervised_base_2M,5
65,70162,670000.0,500.0,500.0,0.664295494556427,0.07500000298023224,0.9958999752998352,10.199999809265137,bfvarbwb,bump_supervised_base_2M,5
66,71162,680000.0,500.0,500.0,0.6562042236328125,0.0754999965429306,0.991599977016449,10.100000381469727,bfvarbwb,bump_supervised_base_2M,5
67,72162,690000.0,500.0,500.0,0.6755046844482422,0.06520000100135803,0.9908999800682068,10.300000190734863,bfvarbwb,bump_supervised_base_2M,5
68,73162,700000.0,500.0,500.0,0.640709638595581,0.06530000269412994,0.9891999959945679,9.899999618530273,bfvarbwb,bump_supervised_base_2M,5
