values,states,actions,rewards,dones,td_errors,episode_length,episode_return,mean_values,mean_td_errors
[100. 100. 100. 100. 100. 100. 100. 100.],"[[-0.86900282  0.03559892  0.044304    0.01345908]
 [-0.86829084 -0.16012949  0.04457318  0.3197847 ]
 [-0.87149346 -0.35585696  0.05096888  0.62618446]
 [-0.87861055 -0.55165195  0.06349257  0.93447393]
 [-0.88964361 -0.74757028  0.08218205  1.24641347]
 [-0.90459502 -0.9436444   0.10711031  1.56366646]
 [-0.92346787 -1.1398716   0.13838364  1.88775074]
 [-0.94626534 -1.3362      0.17613865  2.2199831 ]]",[0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False  True],[0. 0. 0. 0. 0. 0. 0. 0.],8,8.0,100.0,0.0
[100. 100. 100. 100. 100. 100. 100. 100. 100.],"[[-0.31704336  0.01920371  0.00700521  0.00637011]
 [-0.3166593  -0.176018    0.00713262  0.30125502]
 [-0.32017964 -0.37124088  0.01315772  0.59617883]
 [-0.32760447 -0.56654447  0.02508129  0.89297712]
 [-0.33893535 -0.76199746  0.04294084  1.19343758]
 [-0.3541753  -0.95764846  0.06680959  1.49926424]
 [-0.37332827 -1.15351546  0.09679487  1.81203663]
 [-0.39639857 -1.34957337  0.1330356   2.13316011]
 [-0.42339006 -1.54573941  0.17569882  2.46380639]]",[0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False  True],[0. 0. 0. 0. 0. 0. 0. 0. 0.],9,9.0,100.0,0.0
[100. 100. 100. 100. 100. 100. 100. 100. 100.],"[[-1.31172210e-01  3.67550440e-02  2.53553335e-02  2.49943626e-03]
 [-1.30437106e-01 -1.58721194e-01  2.54053213e-02  3.03073198e-01]
 [-1.33611530e-01 -3.54195833e-01  3.14667858e-02  6.03658915e-01]
 [-1.40695453e-01 -5.49743414e-01  4.35399637e-02  9.06084776e-01]
 [-1.51690319e-01 -7.45427012e-01  6.16616607e-02  1.21212876e+00]
 [-1.66598856e-01 -9.41288292e-01  8.59042332e-02  1.52347934e+00]
 [-1.85424626e-01 -1.13733625e+00  1.16373822e-01  1.84169173e+00]
 [-2.08171353e-01 -1.33353448e+00  1.53207660e-01  2.16813517e+00]
 [-2.34842032e-01 -1.52978504e+00  1.96570352e-01  2.50392985e+00]]",[0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False  True],[0. 0. 0. 0. 0. 0. 0. 0. 0.],9,9.0,100.0,0.0
[100. 100. 100. 100. 100. 100. 100. 100. 100.],"[[-2.07762167e-01  4.81456183e-02 -3.41384439e-04 -2.97477585e-03]
 [-2.06799254e-01 -1.46971434e-01 -4.00879944e-04  2.89600432e-01]
 [-2.09738687e-01 -3.42087656e-01  5.39112836e-03  5.82156897e-01]
 [-2.16580436e-01 -5.37284732e-01  1.70342661e-02  8.76533210e-01]
 [-2.27326125e-01 -7.32634008e-01  3.45649309e-02  1.17452252e+00]
 [-2.41978809e-01 -9.28187668e-01  5.80553785e-02  1.47783780e+00]
 [-2.60542572e-01 -1.12396848e+00  8.76121372e-02  1.78807294e+00]
 [-2.83021927e-01 -1.31995785e+00  1.23373598e-01  2.10665441e+00]
 [-3.09421092e-01 -1.51608109e+00  1.65506691e-01  2.43478322e+00]]",[0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False  True],[0. 0. 0. 0. 0. 0. 0. 0. 0.],9,9.0,100.0,0.0
"[100.      100.      100.      100.      100.      100.       99.99998
  99.99928  99.98819  99.89335]","[[ 1.21841848  0.02243903 -0.03306431  0.04082468]
 [ 1.2188673  -0.17219356 -0.03224782  0.32289487]
 [ 1.21542335 -0.36684182 -0.02578992  0.60523623]
 [ 1.20808661 -0.56159383 -0.01368519  0.88968569]
 [ 1.19685471 -0.75652742  0.00410852  1.17803538]
 [ 1.18172407 -0.95170248  0.02766923  1.47200346]
 [ 1.16269004 -1.14715159  0.0571093   1.7731986 ]
 [ 1.13974702 -1.34286904  0.09257327  2.08307719]
 [ 1.11288965 -1.53879726  0.13423482  2.40288877]
 [ 1.08211374 -1.73481047  0.1822926   2.73361015]]",[0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False False  True],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.28881831e-07 7.17163086e-06
 1.18103027e-04 1.06651306e-03]",10,10.0,99.98808,0.00011920166015499944
"[99.99933   99.99814   99.991486  99.94072   99.426575  93.87312
 61.7537    17.86066    3.9860733  1.2023115]","[[ 1.92117763e+00  2.36665811e-02 -2.03790255e-02  1.67374387e-02]
 [ 1.92165101e+00 -1.71157271e-01 -2.00442765e-02  3.02921504e-01]
 [ 1.91822779e+00 -3.65987897e-01 -1.39858462e-02  5.89216113e-01]
 [ 1.91090810e+00 -5.60911238e-01 -2.20152363e-03  8.77460837e-01]
 [ 1.89968979e+00 -7.56003201e-01  1.53476931e-02  1.16945088e+00]
 [ 1.88456976e+00 -9.51321423e-01  3.87367122e-02  1.46690571e+00]
 [ 1.86554337e+00 -1.14689553e+00  6.80748224e-02  1.77143264e+00]
 [ 1.84260547e+00 -1.34271622e+00  1.03503473e-01  2.08448172e+00]
 [ 1.81575108e+00 -1.53872097e+00  1.45193115e-01  2.40729117e+00]
 [ 1.78497672e+00 -1.73477769e+00  1.93338931e-01  2.74081898e+00]]",[0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False False  True],"[6.71386718e-06 1.86157227e-05 8.51440430e-05 5.92803955e-04
 5.73425293e-03 6.12687683e-02 3.82462997e-01 8.21393394e-01
 9.60139267e-01 9.87976885e-01]",10,10.0,67.803215,0.3219678843021362
[100. 100. 100. 100. 100. 100. 100. 100. 100.],"[[ 2.74509758e-01 -4.97820973e-02  7.55844114e-04 -3.15316990e-02]
 [ 2.73514122e-01 -2.44914874e-01  1.25210136e-04  2.61389613e-01]
 [ 2.68615812e-01 -4.40038621e-01  5.35300234e-03  5.54112017e-01]
 [ 2.59815037e-01 -6.35235310e-01  1.64352432e-02  8.48476648e-01]
 [ 2.47110337e-01 -8.30577552e-01  3.34047750e-02  1.14628220e+00]
 [ 2.30498791e-01 -1.02611947e+00  5.63304201e-02  1.44925058e+00]
 [ 2.09976405e-01 -1.22188675e+00  8.53154287e-02  1.75898814e+00]
 [ 1.85538664e-01 -1.41786504e+00  1.20495193e-01  2.07693863e+00]
 [ 1.57181367e-01 -1.61398518e+00  1.62033960e-01  2.40432572e+00]]",[0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False  True],[0. 0. 0. 0. 0. 0. 0. 0. 0.],9,9.0,100.0,0.0
"[100.       100.       100.       100.       100.       100.
 100.        99.999985]","[[ 0.95297468  0.04687715  0.03849545  0.01385854]
 [ 0.9539122  -0.14877512  0.03877262  0.31843439]
 [ 0.95093673 -0.34442723  0.04514131  0.6230883 ]
 [ 0.94404817 -0.54014945  0.05760307  0.92963958]
 [ 0.93324518 -0.73599964  0.07619587  1.2398535 ]
 [ 0.91852522 -0.93201286  0.10099293  1.55540013]
 [ 0.89988494 -1.12818944  0.13210094  1.87780714]
 [ 0.87732112 -1.32448173  0.16965708  2.20840502]]",[0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False  True],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.52587887e-07]",8,8.0,100.0,1.907348590179936e-08
"[100.      100.      100.      100.      100.       99.99998  99.99933
  99.98699  99.83246  98.79786]","[[ 1.3887229   0.04552456 -0.0108153  -0.01151123]
 [ 1.38963342 -0.14944063 -0.01104552  0.27773982]
 [ 1.3866446  -0.34440327 -0.00549073  0.56691861]
 [ 1.37975645 -0.53944778  0.00584765  0.8578667 ]
 [ 1.36896753 -0.73464888  0.02300498  1.15238261]
 [ 1.35427463 -0.93006331  0.04605263  1.45218945]
 [ 1.33567333 -1.12571967  0.07509642  1.75889766]
 [ 1.31315887 -1.32160747  0.11027437  2.07395887]
 [ 1.28672671 -1.51766253  0.15175354  2.39861012]
 [ 1.25637352 -1.7137512   0.19972575  2.73380733]]",[0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False False  True],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.28881831e-07 6.71386718e-06 1.30081177e-04
 1.67541504e-03 1.20214081e-02]",10,10.0,99.861664,0.0013833847045887637
"[100.      100.      100.      100.      100.      100.       99.99988
  99.99716  99.95652  99.62716]","[[ 1.29446876e+00  1.38222135e-03 -4.04280052e-02  5.05603850e-03]
 [ 1.29449642e+00 -1.93137318e-01 -4.03268859e-02  2.84714341e-01]
 [ 1.29063368e+00 -3.87661606e-01 -3.46325971e-02  5.64410627e-01]
 [ 1.28288043e+00 -5.82280934e-01 -2.33443845e-02  8.45984697e-01]
 [ 1.27123475e+00 -7.77076781e-01 -6.42469153e-03  1.13123620e+00]
 [ 1.25569332e+00 -9.72114027e-01  1.62000321e-02  1.42189717e+00]
 [ 1.23625100e+00 -1.16743255e+00  4.46379744e-02  1.71959913e+00]
 [ 1.21290231e+00 -1.36303663e+00  7.90299550e-02  2.02583218e+00]
 [ 1.18564165e+00 -1.55888188e+00  1.19546600e-01  2.34189367e+00]
 [ 1.15446401e+00 -1.75485981e+00  1.66384473e-01  2.66882563e+00]]",[0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[False False False False False False False False False  True],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.22070313e-06 2.83813477e-05
 4.34799194e-04 3.72840881e-03]",10,10.0,99.95808,0.0004192810058597729
